barcode_group,target_gene,n_cells,single_target_cells,double_target_cells,fraction_of_all_group_cells,fraction_of_noncontrol_group_cells
5,CBL,229,68,161,0.02159155195172544,0.023403168114460908
5,CDKN1A,53,31,22,0.004997171412408071,0.005416453755748595
5,CDKN1B,74,54,20,0.006977182726758438,0.007562595809913132
5,CDKN1C,42,16,26,0.003960022628700735,0.004292284108329075
5,CEBPA,161,80,81,0.01518008674335282,0.016453755748594787
5,CEBPB,197,40,157,0.018574391853667736,0.020132856412876852
5,CEBPE,585,118,467,0.05515745804261739,0.05978538579458355
5,CELF2,40,40,0,0.003771450122572129,0.004087889626980072
5,CITED1,23,23,0,0.0021685838204789742,0.002350536535513541
5,CKS1B,22,22,0,0.002074297567414671,0.0022483392948390393
5,CLDN6,93,62,31,0.0087686215349802,0.009504343382728667
5,CNN1,308,67,241,0.029040165943805395,0.031476750127746554
5,CNNM4,54,54,0,0.005091457665472374,0.005518650996423097
5,COL1A1,34,34,0,0.0032057326041863097,0.0034747061829330608
5,COL2A1,101,74,27,0.009522911559494626,0.01032192130812468
5,CSRNP1,31,31,0,0.0029228738449933998,0.0031681144609095554
5,DLX2,98,74,24,0.009240052800301716,0.010015329586101174
5,DUSP9,328,84,244,0.03092589100509146,0.033520694941236585
5,EGR1,28,28,0,0.0026400150858004903,0.00286152273888605
5,ELMSAN1,269,84,185,0.025363002074297567,0.02749105774144098
5,ETS2,601,127,474,0.05666603809164624,0.061420541645375575
5,FEV,199,91,108,0.018762964359796342,0.020337250894225854
5,FOSB,200,52,148,0.018857250612860643,0.020439448134900357
5,FOXA1,239,98,141,0.02253441448236847,0.024425140521205927
5,FOXA3,139,51,88,0.013105789175938147,0.014205416453755748
5,FOXF1,150,71,79,0.014142937959645484,0.015329586101175269
5,FOXL2,201,59,142,0.018951536865924948,0.02054164537557486
5,FOXO4,27,27,0,0.002545728832736187,0.0027593254982115484
5,GLB1L2,36,36,0,0.0033943051103149163,0.0036791006642820645
5,HES7,18,18,0,0.0016971525551574581,0.0018395503321410323
5,HK2,33,33,0,0.0031114463511220064,0.003372508942258559
5,HNF4A,26,26,0,0.0024514425796718837,0.0026571282575370463
5,HOXA13,34,34,0,0.0032057326041863097,0.0034747061829330608
5,HOXB9,192,87,105,0.01810296058834622,0.019621870209504344
5,HOXC13,85,26,59,0.008014331510465773,0.008686765457332652
5,IER5L,89,20,69,0.008391476522722987,0.009095554420030658
5,IGDCC3,243,58,185,0.022911559494625682,0.024833929483903935
5,IKZF3,218,63,155,0.020554403168018102,0.02227899846704139
5,IRF1,75,40,35,0.007071468979822742,0.007664793050587634
5,ISL2,113,72,41,0.010654346596266264,0.011548288196218701
5,JUN,39,28,11,0.0036771638695078258,0.00398569238630557
5,KIAA1804,29,29,0,0.0027343013388647936,0.0029637199795605517
5,KIF18B,31,26,5,0.0029228738449933998,0.0031681144609095554
5,KIF2C,68,63,5,0.006411465208372619,0.0069494123658661216
5,KLF1,595,187,408,0.05610032057326042,0.060807358201328564
5,KMT2A,22,22,0,0.002074297567414671,0.0022483392948390393
5,LHX1,105,40,65,0.00990005657175184,0.010730710270822688
5,LYL1,124,36,88,0.011691495379973599,0.012672457843638222
5,MAML2,64,64,0,0.006034320196115406,0.006540623403168114
5,MAP2K3,226,52,174,0.021308693192532528,0.023096576392437403
5,MAP2K6,249,79,170,0.023477277013011503,0.025447112927950946
5,MAP4K3,30,30,0,0.002828587591929097,0.0030659172202350538
5,MAP4K5,39,39,0,0.0036771638695078258,0.00398569238630557
5,MAP7D1,137,78,59,0.012917216669809542,0.014001021972406744
5,MAPK1,417,89,328,0.039317367527814444,0.04261624936126725
5,MEIS1,106,78,28,0.009994342824816142,0.01083290751149719
5,MIDN,33,33,0,0.0031114463511220064,0.003372508942258559
5,NCL,23,23,0,0.0021685838204789742,0.002350536535513541
5,NIT1,27,27,0,0.002545728832736187,0.0027593254982115484
5,OSR2,256,92,164,0.024137280784461625,0.026162493612672456
5,PLK4,20,13,7,0.0018857250612860645,0.002043944813490036
5,POU3F2,108,41,67,0.010182915330944748,0.011037301992846194
5,PRDM1,49,31,18,0.004620026400150858,0.005007664793050587
5,PRTG,208,69,139,0.01961154063737507,0.02125702606029637
5,PTPN1,30,30,0,0.002828587591929097,0.0030659172202350538
5,PTPN12,423,41,382,0.039883085046200265,0.04322943280531426
5,PTPN13,26,26,0,0.0024514425796718837,0.0026571282575370463
5,PTPN9,152,48,104,0.01433151046577409,0.015533980582524271
5,RHOXF2BB,89,36,53,0.008391476522722987,0.009095554420030658
5,RREB1,30,30,0,0.002828587591929097,0.0030659172202350538
5,RUNX1T1,193,67,126,0.01819724684141052,0.019724067450178843
5,S1PR2,81,43,38,0.007637186498208561,0.008277976494634645
5,SAMD1,144,46,98,0.013577220441259665,0.014716402657128258
5,SET,302,94,208,0.028474448425419574,0.03086356668369954
5,SGK1,151,56,95,0.014237224212709787,0.01543178334184977
5,SLC38A2,54,28,26,0.005091457665472374,0.005518650996423097
5,SLC4A1,91,91,0,0.008580049028851594,0.009299948901379662
5,SLC6A9,33,33,0,0.0031114463511220064,0.003372508942258559
5,SNAI1,138,44,94,0.013011502922873844,0.014103219213081247
5,SPI1,93,41,52,0.0087686215349802,0.009504343382728667
5,STIL,34,27,7,0.0032057326041863097,0.0034747061829330608
5,TBX2,203,60,143,0.019140109372053554,0.020746039856923863
5,TBX3,208,66,142,0.01961154063737507,0.02125702606029637
5,TGFBR2,312,71,241,0.029417310956062606,0.03188553909044456
5,TMSB4X,90,57,33,0.00848576277578729,0.009197751660705161
5,TP73,20,20,0,0.0018857250612860645,0.002043944813490036
5,TSC22D1,44,44,0,0.004148595134829342,0.0044966785896780785
5,UBASH3A,171,81,90,0.01612294927399585,0.017475728155339806
5,UBASH3B,515,113,402,0.04855742032811616,0.05263157894736842
5,ZBTB1,137,81,56,0.012917216669809542,0.014001021972406744
5,ZBTB10,80,18,62,0.007542900245144258,0.008175779253960144
5,ZBTB25,141,60,81,0.013294361682066755,0.014409810935104753
5,ZC3HAV1,165,47,118,0.015557231755610032,0.016862544711292796
5,ZNF318,72,56,16,0.006788610220629833,0.007358201328564129
6,AHR,144,48,96,0.01291248206599713,0.014150943396226415
6,ARID1A,14,14,0,0.001255380200860832,0.0013757861635220125
6,ARRDC3,44,44,0,0.003945480631276901,0.004323899371069182
6,ATL1,39,39,0,0.0034971305595408895,0.0038325471698113208
6,BAK1,221,138,83,0.019817073170731708,0.021717767295597483
6,BCL2L11,122,53,69,0.01093974175035868,0.011988993710691825
6,BCORL1,54,54,0,0.004842180774748924,0.005306603773584905
6,BPGM,99,44,55,0.008877331420373027,0.00972877358490566
6,C19orf26,122,94,28,0.01093974175035868,0.011988993710691825
6,C3orf72,24,20,4,0.002152080344332855,0.0023584905660377358
6,CBFA2T3,132,73,59,0.011836441893830704,0.012971698113207548
6,CBL,243,71,172,0.021789813486370158,0.023879716981132077
6,CDKN1A,61,39,22,0.00546987087517934,0.005994496855345912
6,CDKN1B,64,46,18,0.005738880918220947,0.006289308176100629
6,CDKN1C,41,27,14,0.003676470588235294,0.004029088050314465
6,CEBPA,171,70,101,0.015333572453371592,0.016804245283018868
6,CEBPB,240,53,187,0.021520803443328552,0.02358490566037736
6,CEBPE,564,128,436,0.050573888091822096,0.055424528301886794
6,CELF2,47,47,0,0.004214490674318508,0.004618710691823899
6,CITED1,20,20,0,0.001793400286944046,0.0019654088050314465
6,CKS1B,19,19,0,0.0017037302725968436,0.0018671383647798742
6,CLDN6,95,70,25,0.008518651362984218,0.00933569182389937
6,CNN1,346,72,274,0.031025824964131993,0.034001572327044025
6,CNNM4,46,46,0,0.004124820659971305,0.004520440251572327
6,COL1A1,24,24,0,0.002152080344332855,0.0023584905660377358
6,COL2A1,89,60,29,0.007980631276901004,0.008746069182389937
6,CSRNP1,39,39,0,0.0034971305595408895,0.0038325471698113208
6,DLX2,89,72,17,0.007980631276901004,0.008746069182389937
6,DUSP9,296,65,231,0.02654232424677188,0.02908805031446541
6,EGR1,35,35,0,0.0031384505021520804,0.0034394654088050316
6,ELMSAN1,296,92,204,0.02654232424677188,0.02908805031446541
6,ETS2,581,111,470,0.052098278335724536,0.05709512578616352
6,FEV,189,67,122,0.016947632711621235,0.01857311320754717
6,FOSB,242,54,188,0.021700143472022957,0.023781446540880505
6,FOXA1,238,90,148,0.021341463414634148,0.023388364779874212
6,FOXA3,146,54,92,0.013091822094691535,0.01434748427672956
6,FOXF1,184,86,98,0.01649928263988522,0.018081761006289308
6,FOXL2,226,69,157,0.020265423242467717,0.022209119496855344
6,FOXO4,23,23,0,0.0020624103299856527,0.0022602201257861635
6,GLB1L2,39,39,0,0.0034971305595408895,0.0038325471698113208
6,HES7,9,9,0,0.0008070301291248207,0.000884433962264151
6,HK2,29,29,0,0.0026004304160688664,0.0028498427672955973
6,HNF4A,29,29,0,0.0026004304160688664,0.0028498427672955973
6,HOXA13,18,18,0,0.0016140602582496414,0.001768867924528302
6,HOXB9,177,73,104,0.015871592539454808,0.0173938679245283
6,HOXC13,113,47,66,0.010132711621233859,0.011104559748427672
6,IER5L,116,43,73,0.010401721664275465,0.01139937106918239
6,IGDCC3,266,67,199,0.02385222381635581,0.02613993710691824
6,IKZF3,219,74,145,0.019637733142037303,0.02152122641509434
6,IRF1,93,53,40,0.008339311334289813,0.009139150943396226
6,ISL2,101,71,30,0.009056671449067431,0.009925314465408805
6,JUN,41,26,15,0.003676470588235294,0.004029088050314465
6,KIAA1804,31,31,0,0.0027797704447632713,0.0030463836477987423
6,KIF18B,30,20,10,0.002690100430416069,0.00294811320754717
6,KIF2C,77,67,10,0.006904591104734577,0.007566823899371069
6,KLF1,623,201,422,0.05586441893830703,0.06122248427672956
6,KMT2A,26,26,0,0.0023314203730272595,0.0025550314465408804
6,LHX1,117,34,83,0.01049139167862267,0.011497641509433961
6,LYL1,147,52,95,0.013181492109038738,0.014445754716981132
6,MAML2,60,60,0,0.005380200860832138,0.00589622641509434
6,MAP2K3,214,48,166,0.01918938307030129,0.021029874213836477
6,MAP2K6,276,83,193,0.024748923959827834,0.027122641509433963
6,MAP4K3,25,25,0,0.0022417503586800573,0.002456761006289308
6,MAP4K5,26,26,0,0.0023314203730272595,0.0025550314465408804
6,MAP7D1,147,89,58,0.013181492109038738,0.014445754716981132
6,MAPK1,448,76,372,0.040172166427546625,0.0440251572327044
6,MEIS1,104,82,22,0.009325681492109038,0.010220125786163521
6,MIDN,23,23,0,0.0020624103299856527,0.0022602201257861635
6,NCL,23,23,0,0.0020624103299856527,0.0022602201257861635
6,NIT1,23,23,0,0.0020624103299856527,0.0022602201257861635
6,OSR2,312,110,202,0.027977044476327116,0.030660377358490566
6,PLK4,20,13,7,0.001793400286944046,0.0019654088050314465
6,POU3F2,94,43,51,0.008428981348637015,0.009237421383647798
6,PRDM1,51,40,11,0.004573170731707317,0.0050117924528301884
6,PRTG,227,60,167,0.02035509325681492,0.022307389937106917
6,PTPN1,40,40,0,0.003586800573888092,0.003930817610062893
6,PTPN12,450,50,400,0.04035150645624103,0.044221698113207544
6,PTPN13,30,30,0,0.002690100430416069,0.00294811320754717
6,PTPN9,136,43,93,0.012195121951219513,0.013364779874213837
6,RHOXF2BB,83,28,55,0.00744261119081779,0.008156446540880503
6,RREB1,27,27,0,0.002421090387374462,0.0026533018867924527
6,RUNX1T1,177,72,105,0.015871592539454808,0.0173938679245283
6,S1PR2,89,53,36,0.007980631276901004,0.008746069182389937
6,SAMD1,175,55,120,0.015692252510760403,0.017197327044025157
6,SET,283,88,195,0.02537661406025825,0.02781053459119497
6,SGK1,145,44,101,0.013002152080344333,0.014249213836477988
6,SLC38A2,59,24,35,0.005290530846484936,0.005797955974842767
6,SLC4A1,107,107,0,0.009594691535150645,0.010514937106918238
6,SLC6A9,63,63,0,0.005649210903873745,0.006191037735849057
6,SNAI1,142,52,90,0.012733142037302726,0.01395440251572327
6,SPI1,116,66,50,0.010401721664275465,0.01139937106918239
6,STIL,32,25,7,0.0028694404591104736,0.0031446540880503146
6,TBX2,234,69,165,0.02098278335724534,0.022995283018867923
6,TBX3,232,60,172,0.02080344332855093,0.02279874213836478
6,TGFBR2,375,61,314,0.03362625538020086,0.036851415094339625
6,TMSB4X,77,51,26,0.006904591104734577,0.007566823899371069
6,TP73,25,25,0,0.0022417503586800573,0.002456761006289308
6,TSC22D1,56,56,0,0.005021520803443328,0.00550314465408805
6,UBASH3A,184,92,92,0.01649928263988522,0.018081761006289308
6,UBASH3B,521,122,399,0.04671807747489239,0.05119889937106918
6,ZBTB1,129,85,44,0.011567431850789097,0.01267688679245283
6,ZBTB10,86,22,64,0.007711621233859397,0.00845125786163522
6,ZBTB25,177,80,97,0.015871592539454808,0.0173938679245283
6,ZC3HAV1,178,54,124,0.015961262553802008,0.017492138364779874
6,ZNF318,80,54,26,0.007173601147776184,0.007861635220125786
7,AHR,152,60,92,0.013028199194308735,0.014161930494735861
7,ARID1A,23,23,0,0.0019713722465072425,0.0021429236932824
7,ARRDC3,52,52,0,0.004457015513842462,0.0048448709587254266
7,ATL1,46,46,0,0.003942744493014485,0.0042858473865648
7,BAK1,256,170,86,0.021942230221993656,0.023851672412186713
7,BCL2L11,126,57,69,0.010799691437387503,0.011739495015373148
7,BCORL1,53,53,0,0.004542727350647124,0.004938041554085531
7,BPGM,116,45,71,0.009942573069340876,0.010807789061772105
7,C19orf26,133,100,33,0.011399674295020142,0.012391689182893878
7,C3orf72,37,32,5,0.0031713379617725208,0.003447312028323861
7,CBFA2T3,124,74,50,0.010628267763778178,0.01155315382465294
7,CBL,219,56,163,0.018770892260221137,0.020404360383862855
7,CDKN1A,62,36,26,0.005314133881889089,0.00577657691232647
7,CDKN1B,95,70,25,0.008142624496442959,0.008851206559209913
7,CDKN1C,46,31,15,0.003942744493014485,0.0042858473865648
7,CEBPA,188,89,99,0.016113825319276593,0.01751607192769962
7,CEBPB,193,55,138,0.016542384503299905,0.01798192490450014
7,CEBPE,645,155,490,0.05528413473900746,0.0600950340072673
7,CELF2,49,49,0,0.004199880003428473,0.004565359172645113
7,CITED1,24,24,0,0.0020570840833119054,0.0022360942886425045
7,CKS1B,23,23,0,0.0019713722465072425,0.0021429236932824
7,CLDN6,104,75,29,0.008914031027684923,0.009689741917450853
7,CNN1,326,86,240,0.027942058798320048,0.03037361408739402
7,CNNM4,45,45,0,0.0038570326562098224,0.004192676791204696
7,COL1A1,34,34,0,0.0029142024513585324,0.003167800242243548
7,COL2A1,89,58,31,0.007628353475614982,0.008292182987049286
7,CSRNP1,51,51,0,0.004371303677037799,0.0047517003633653215
7,DLX2,105,83,22,0.008999742864489586,0.009782912512810956
7,DUSP9,331,83,248,0.02837061798234336,0.03083946706419454
7,EGR1,32,32,0,0.002742778777749207,0.002981459051523339
7,ELMSAN1,303,106,197,0.025970686551812807,0.028230690394111618
7,ETS2,642,147,495,0.05502699922859347,0.059815522221186995
7,FEV,209,86,123,0.01791377389217451,0.019472654430261808
7,FOSB,252,68,184,0.021599382874775006,0.023478990030746296
7,FOXA1,264,96,168,0.02262792491643096,0.02459703717506755
7,FOXA3,127,38,89,0.010885403274192166,0.011832665610733253
7,FOXF1,182,98,84,0.015599554298448616,0.016957048355538993
7,FOXL2,210,63,147,0.01799948572897917,0.019565825025621913
7,FOXO4,26,26,0,0.002228507756921231,0.0024224354793627133
7,GLB1L2,56,56,0,0.004799862861061112,0.005217553340165844
7,HES7,15,15,0,0.0012856775520699408,0.0013975589304015652
7,HK2,36,36,0,0.0030856261249678583,0.0033541414329637566
7,HNF4A,22,22,0,0.00188566040970258,0.002049753097922296
7,HOXA13,30,30,0,0.0025713551041398816,0.0027951178608031303
7,HOXB9,164,75,89,0.014056741235964686,0.015279977639057113
7,HOXC13,103,33,70,0.00882831919088026,0.009596571322090748
7,IER5L,92,36,56,0.00788548898602897,0.0085716947731296
7,IGDCC3,215,49,166,0.018428044913002487,0.020031678002422434
7,IKZF3,258,75,183,0.02211365389560298,0.024038013602906923
7,IRF1,83,40,43,0.007114082454787006,0.0077331594148886615
7,ISL2,99,61,38,0.008485471843661609,0.009223888940650331
7,JUN,53,30,23,0.004542727350647124,0.004938041554085531
7,KIAA1804,28,28,0,0.002399931430530556,0.002608776670082922
7,KIF18B,43,31,12,0.003685608982600497,0.004006335600484487
7,KIF2C,67,55,12,0.005742693065912402,0.0062424298891269915
7,KLF1,676,195,481,0.057941201679952,0.06298332246343054
7,KMT2A,21,21,0,0.0017999485728979173,0.001956582502562191
7,LHX1,96,33,63,0.008228336333247621,0.008944377154570018
7,LYL1,111,34,77,0.009514013885317562,0.010341936084971583
7,MAML2,59,59,0,0.005056998371475101,0.0054970651262461565
7,MAP2K3,229,48,181,0.019628010628267765,0.021336066337463898
7,MAP2K6,276,78,198,0.023656466958086913,0.0257150843193888
7,MAP4K3,35,35,0,0.0029999142881631954,0.0032609708376036524
7,MAP4K5,45,45,0,0.0038570326562098224,0.004192676791204696
7,MAP7D1,139,72,67,0.011913945315848119,0.012950712755054505
7,MAPK1,414,89,325,0.03548470043713037,0.0385726264790832
7,MEIS1,115,92,23,0.009856861232536214,0.010714618466412
7,MIDN,30,30,0,0.0025713551041398816,0.0027951178608031303
7,NCL,22,22,0,0.00188566040970258,0.002049753097922296
7,NIT1,18,18,0,0.0015428130624839291,0.0016770707164818783
7,OSR2,313,135,178,0.026827804919859432,0.02916239634771266
7,PLK4,20,15,5,0.0017142367360932546,0.001863411907202087
7,POU3F2,101,47,54,0.008656895517270936,0.00941023013137054
7,PRDM1,41,34,7,0.0035141853089911716,0.0038199944097642782
7,PRTG,206,76,130,0.01765663838176052,0.019193142644181496
7,PTPN1,46,46,0,0.003942744493014485,0.0042858473865648
7,PTPN12,448,51,397,0.0383989028884889,0.04174042672132675
7,PTPN13,29,29,0,0.002485643267335219,0.002701947265443026
7,PTPN9,149,42,107,0.012771063683894746,0.013882418708655548
7,RHOXF2BB,104,52,52,0.008914031027684923,0.009689741917450853
7,RREB1,48,48,0,0.004114168166623811,0.004472188577285009
7,RUNX1T1,210,71,139,0.01799948572897917,0.019565825025621913
7,S1PR2,100,61,39,0.008571183680466273,0.009317059536010435
7,SAMD1,189,58,131,0.016199537156081256,0.01760924252305972
7,SET,312,108,204,0.02674209308305477,0.029069225752352556
7,SGK1,185,72,113,0.015856689808862606,0.017236560141619305
7,SLC38A2,69,27,42,0.005914116739521728,0.0064287710798472
7,SLC4A1,117,117,0,0.010028284906145539,0.01090095965713221
7,SLC6A9,64,64,0,0.005485557555498414,0.005962918103046678
7,SNAI1,153,49,104,0.013113911031113397,0.014255101090095966
7,SPI1,132,82,50,0.01131396245821548,0.012298518587533775
7,STIL,49,44,5,0.004199880003428473,0.004565359172645113
7,TBX2,247,69,178,0.021170823690751694,0.023013137053945774
7,TBX3,243,77,166,0.02082797634353304,0.022640454672505358
7,TGFBR2,330,74,256,0.028284906145538698,0.030746296468834436
7,TMSB4X,104,73,31,0.008914031027684923,0.009689741917450853
7,TP73,25,25,0,0.0021427959201165683,0.0023292648840026087
7,TSC22D1,48,48,0,0.004114168166623811,0.004472188577285009
7,UBASH3A,206,78,128,0.01765663838176052,0.019193142644181496
7,UBASH3B,532,102,430,0.04559869718008057,0.04956675673157551
7,ZBTB1,138,79,59,0.011828233479043456,0.0128575421596944
7,ZBTB10,93,21,72,0.007971200822833634,0.008664865368489705
7,ZBTB25,181,82,99,0.015513842461643954,0.016863877760178888
7,ZC3HAV1,176,56,120,0.01508528327762064,0.016398024783378366
7,ZNF318,106,78,28,0.009085454701294248,0.009876083108171061
8,AHR,159,79,80,0.01354690295646247,0.014738598442714126
8,ARID1A,21,21,0,0.001789213598023345,0.001946607341490545
8,ARRDC3,51,51,0,0.00434523302377098,0.004727474972191324
8,ATL1,39,39,0,0.0033228252534719263,0.003615127919911012
8,BAK1,247,146,101,0.021044559938655533,0.02289581015943641
8,BCL2L11,135,65,70,0.011502087415864361,0.012513904338153505
8,BCORL1,67,67,0,0.00570844338416972,0.006210604375231739
8,BPGM,112,54,58,0.009542472522791173,0.010381905821282907
8,C19orf26,137,93,44,0.011672488710914202,0.012699295513533555
8,C3orf72,28,22,6,0.0023856181306977932,0.0025954764553207266
8,CBFA2T3,127,73,54,0.01082048223566499,0.011772339636633296
8,CBL,236,72,164,0.0201073528158814,0.021876158694846125
8,CDKN1A,63,35,28,0.005367640794070035,0.005839822024471635
8,CDKN1B,89,56,33,0.007582857629717986,0.00824990730441231
8,CDKN1C,48,23,25,0.004089631081196217,0.004449388209121246
8,CEBPA,182,73,109,0.015506517849535656,0.016870596959584722
8,CEBPB,229,60,169,0.01951094828320695,0.021227289581015944
8,CEBPE,633,136,497,0.053932009883275116,0.05867630700778643
8,CELF2,49,49,0,0.0041748317287211385,0.004542083796811272
8,CITED1,27,27,0,0.0023004174831728723,0.002502780867630701
8,CKS1B,22,22,0,0.0018744142455482662,0.002039302929180571
8,CLDN6,90,62,28,0.007668058277242907,0.008342602892102336
8,CNN1,348,84,264,0.029649825338672574,0.03225806451612903
8,CNNM4,35,35,0,0.0029820226633722417,0.0032443455691509083
8,COL1A1,30,30,0,0.0025560194257476356,0.0027808676307007787
8,COL2A1,94,60,34,0.008008860867342591,0.008713385242862439
8,CSRNP1,45,45,0,0.0038340291386214534,0.004171301446051168
8,DLX2,84,59,25,0.00715685439209338,0.00778642936596218
8,DUSP9,318,84,234,0.02709380591292494,0.029477196885428252
8,EGR1,34,34,0,0.0028968220158473203,0.0031516499814608825
8,ELMSAN1,297,106,191,0.02530459231490159,0.02753058954393771
8,ETS2,625,139,486,0.053250404703075745,0.057934742306266225
8,FEV,217,94,123,0.018488540512907898,0.020114942528735632
8,FOSB,253,72,181,0.02155576382380506,0.023451983685576567
8,FOXA1,255,108,147,0.021726165118854904,0.023637374860956618
8,FOXA3,145,58,87,0.012354093891113572,0.013440860215053764
8,FOXF1,186,87,99,0.01584732043963534,0.017241379310344827
8,FOXL2,237,77,160,0.020192553463406322,0.02196885428253615
8,FOXO4,26,26,0,0.002215216835647951,0.002410085279940675
8,GLB1L2,50,50,0,0.00426003237624606,0.0046347793845012975
8,HES7,13,13,0,0.0011076084178239754,0.0012050426399703375
8,HK2,25,25,0,0.00213001618812303,0.0023173896922506487
8,HNF4A,22,22,0,0.0018744142455482662,0.002039302929180571
8,HOXA13,35,35,0,0.0029820226633722417,0.0032443455691509083
8,HOXB9,157,65,92,0.013376501661412627,0.014553207267334075
8,HOXC13,128,53,75,0.010905682883189912,0.011865035224323322
8,IER5L,108,42,66,0.00920166993269149,0.010011123470522803
8,IGDCC3,252,79,173,0.02147056317628014,0.02335928809788654
8,IKZF3,254,71,183,0.02164096447132998,0.023544679273266592
8,IRF1,92,45,47,0.007838459572292749,0.008527994067482388
8,ISL2,89,57,32,0.007582857629717986,0.00824990730441231
8,JUN,41,26,15,0.0034932265485217687,0.003800519095291064
8,KIAA1804,24,24,0,0.0020448155405981086,0.002224694104560623
8,KIF18B,36,21,15,0.0030672233108971626,0.0033370411568409346
8,KIF2C,84,69,15,0.00715685439209338,0.00778642936596218
8,KLF1,631,191,440,0.05376160858822527,0.05849091583240638
8,KMT2A,18,18,0,0.0015336116554485813,0.0016685205784204673
8,LHX1,117,51,66,0.00996847576041578,0.010845383759733037
8,LYL1,127,41,86,0.01082048223566499,0.011772339636633296
8,MAML2,61,61,0,0.0051972394990201926,0.005654430849091583
8,MAP2K3,263,62,201,0.02240777029905427,0.024378939562476828
8,MAP2K6,305,118,187,0.025986197495100963,0.028272154245457915
8,MAP4K3,42,42,0,0.00357842719604669,0.00389321468298109
8,MAP4K5,31,31,0,0.002641220073272557,0.0028735632183908046
8,MAP7D1,150,80,70,0.012780097128738179,0.013904338153503892
8,MAPK1,421,72,349,0.03586947260799182,0.03902484241750093
8,MEIS1,102,80,22,0.00869046604754196,0.009454949944382647
8,MIDN,49,49,0,0.0041748317287211385,0.004542083796811272
8,NCL,23,23,0,0.001959614893073187,0.002131998516870597
8,NIT1,18,18,0,0.0015336116554485813,0.0016685205784204673
8,OSR2,311,104,207,0.02649740138025049,0.02882832777159807
8,PLK4,17,9,8,0.0014484110079236601,0.0015758249907304412
8,POU3F2,97,38,59,0.008264462809917356,0.008991472005932517
8,PRDM1,52,37,15,0.004430433671295902,0.00482017055988135
8,PRTG,290,91,199,0.024708187782227144,0.026881720430107527
8,PTPN1,52,52,0,0.004430433671295902,0.00482017055988135
8,PTPN12,462,48,414,0.03936269915651359,0.04282536151279199
8,PTPN13,19,19,0,0.0016188123029735027,0.0017612161661104931
8,PTPN9,141,48,93,0.012013291301013888,0.01307007786429366
8,RHOXF2BB,99,28,71,0.008434864104967198,0.00917686318131257
8,RREB1,35,35,0,0.0029820226633722417,0.0032443455691509083
8,RUNX1T1,208,73,135,0.017721734685183607,0.0192806822395254
8,S1PR2,98,63,35,0.008349663457442277,0.009084167593622544
8,SAMD1,189,56,133,0.016102922382210106,0.017519466073414907
8,SET,328,107,221,0.02794581238817415,0.030404152762328513
8,SGK1,155,56,99,0.013206100366362784,0.014367816091954023
8,SLC38A2,86,45,41,0.007327255687143222,0.007971820541342232
8,SLC4A1,102,102,0,0.00869046604754196,0.009454949944382647
8,SLC6A9,49,49,0,0.0041748317287211385,0.004542083796811272
8,SNAI1,156,46,110,0.013291301013887705,0.014460511679644048
8,SPI1,132,78,54,0.011246485473289597,0.012235817575083427
8,STIL,47,39,8,0.004004430433671296,0.0043566926214312195
8,TBX2,224,72,152,0.019084945045582346,0.020763811642565813
8,TBX3,214,70,144,0.018232938570333136,0.019836855765665556
8,TGFBR2,366,57,309,0.031183436994121155,0.0339265850945495
8,TMSB4X,108,70,38,0.00920166993269149,0.010011123470522803
8,TP73,31,31,0,0.002641220073272557,0.0028735632183908046
8,TSC22D1,52,52,0,0.004430433671295902,0.00482017055988135
8,UBASH3A,191,76,115,0.01627332367725995,0.017704857248794958
8,UBASH3B,551,122,429,0.04694555678623157,0.051075268817204304
8,ZBTB1,132,76,56,0.011246485473289597,0.012235817575083427
8,ZBTB10,88,16,72,0.007497656982193065,0.008157211716722283
8,ZBTB25,177,83,94,0.015080514611911051,0.016407119021134595
8,ZC3HAV1,192,53,139,0.01635852432478487,0.017797552836484983
8,ZNF318,102,77,25,0.00869046604754196,0.009454949944382647
