canonical_perturbation,original_condition_labels,construct_pooling_caveat,total_n,minimum_lane_n,effect_rms,mean_positive_lane_fraction,se_undefined_lane_n_lt_2,lolo_max_rms_change,top10_up_genes,top10_down_genes
TSC22D1,TSC22D1+ctrl,False,376,39,0.02655340484143908,0.17373637264618433,False,0.004023737011353834,TSC22D1|CLU|NEAT1|GSTP1|ACP5|JUND|C4orf48|HIST1H1C|MALAT1|HBZ,APOC1|CACYBP|APOE|PRDX1|PSMA4|VIM|KCNH2|DDX21|DBI|HMGB2
KIF18B,KIF18B+ctrl,False,212,20,0.026395425417980383,0.15445986124876115,False,0.005468170843487141,CREG1|HIST1H1C|HBZ|KIF18B|MALAT1|RP11-717F1.1|GYPB|HBG2|BTG1|FTH1,CACYBP|MARCKSL1|GAL|NPM1|PITX1|PRDX1|PSMA4|HSP90AB1|CKS1B|LDHB
BCORL1,BCORL1+ctrl,False,456,51,0.025938605636088925,0.167195242814668,False,0.0035992571156446608,KRT18|KRT8|BCORL1|FOXL2|NEAT1|MALAT1|TSC22D1|GMPPA|ALAS2|HBG2,GAL|PRSS57|MT1G|HBZ|MT2A|TMSB10|FABP5|TMEM54|CTSL|FEV
HK2,HK2+ctrl,False,249,25,0.025473595596127146,0.14831516352824578,False,0.004989678091115192,HK2|TXNIP|HBZ|GYPB|HBG2|SEPP1|RP11-717F1.1|SLC25A37|WBP5|TCF4,PRSS57|PRDX1|MDK|CLIC1|PSMA4|S100A11|NUDC|HSP90AA1|GAPDH|UFD1L
ZC3HAV1,ZC3HAV1+ctrl,False,436,36,0.024918962409296926,0.14754707631318137,False,0.004708470112208766,ZC3HAV1|HSPA8|GAL|HN1|PRSS57|C6orf48|UBE2S|BCYRN1|TMSB4X|FABP5,CTSL|HIST1H1C|NEAT1|GSTP1|APOE|HIST1H2BJ|CD63|TESC|MT2A|HBZ
CSRNP1,CSRNP1+ctrl,False,354,31,0.024567088827544846,0.13778493557978197,False,0.004112409997606989,GAL|FABP5|CSRNP1|NPM1|DDX21|HSPD1|PRDX1|MYC|VIM|HSPA8,SH3BGRL3|GYPB|GYPA|HIST1H1C|LGALS1|FTH1|TNNT1|RP11-717F1.1|HIST1H2BJ|LY6E
ZNF318,ZNF318+ctrl,False,541,54,0.024252554691771025,0.17433102081268584,False,0.00336492588597864,HBG2|RP11-395B7.4|KDM5B|HBZ|HBG1|NEAT1|HBD|MALAT1|ZNF318|GYPB,PRSS57|HIST1H4C|H1FX|MT-ND6|TMSB10|UBE2S|TUBA1B|RP11-301G19.1|APOE|MSN
MEIS1,MEIS1+ctrl|ctrl+MEIS1,True,682,75,0.02405040104948162,0.20567393458870167,False,0.003145767563858298,HBG2|GYPB|GYPA|MALAT1|NEAT1|HBD|HBG1|GYPC|SMYD3|GYPE,PRSS57|APOC1|FABP5|GAL|TEX30|PTMA|VIM|MYC|KCNH2|PRDX4
MAP2K6,MAP2K6+ctrl|ctrl+MAP2K6,True,741,70,0.02356989410348769,0.17641228939544104,False,0.0026506645893987282,GAL|UFD1L|TOR3A|PRDX1|PSMA4|HIST1H1C|CLIC1|KRT18|PRDX4|PSMB1,AC079466.1|CTSL|HBZ|CFD|MT-ND6|PYCARD|COL18A1|GYPC|PITX1|PPP1R14A
FOXF1,FOXF1+ctrl|ctrl+FOXF1,True,715,71,0.0231011415320655,0.19442517343904855,False,0.002961008315347606,S100A13|RP11-301G19.1|SMYD3|AP001171.1|AC006262.5|MSRB1|ATF7IP2|ALAS2|GMPPA|CMTM6,GAL|HBZ|CTSL|TEX30|MYL4|PHF19|MYC|MT-ND6|NME1|UBE2S
NCL,NCL+ctrl,False,197,18,0.02283230153244786,0.1380327056491576,False,0.005905221867677478,NCL|GYPB|BSDC1|GMPPA|GYPA|BCYRN1|SNHG9|ATP6V0B|BTG1|BTG2,CFD|HIST1H1C|VIM|HMGB2|APOC1|GAL|MDK|LIMD2|EMP3|PSMA4
MAP7D1,MAP7D1+ctrl|ctrl+MAP7D1,True,635,59,0.022367969235470544,0.19147670961347868,False,0.0031142253700101913,MAP7D1|PSMA4|PSMB1|UBB|PRDX1|KRT18|CD63|ARPC3|LDHB|MYL6,MT-ND1|MT-CYB|HIST1H4C|SVIP|MT-ND4|MT-CO3|HIST1H1C|COL18A1|RP11-301G19.1|AC079466.1
ARRDC3,ARRDC3+ctrl,False,405,44,0.02212585084328619,0.1636025768087215,False,0.004114799829728354,HIST1H1C|HBZ|NEAT1|AC006262.5|RP11-717F1.1|SLC25A37|APOE|GYPC|GRN|EIF3E,ODC1|GAL|PSMB1|SRM|NME1|CKS1B|PSMB3|MDK|PRDX1|DDX21
SLC38A2,ctrl+SLC38A2,False,280,24,0.021131290802911647,0.15037165510406342,False,0.0046994998168817005,SLC38A2|MDK|HIST1H4C|FABP5|ODC1|MPC2|HMGN2|NUDC|C6orf48|HSPD1,HIST1H1C|RP11-717F1.1|MT-ND6|HIST1H2BJ|CTSL|AC079466.1|HBZ|AC006262.5|KCNH2|HIST1H2AC
MAP4K5,MAP4K5+ctrl,False,300,25,0.021117152158335442,0.14826560951437068,False,0.004809182377502286,HBZ|GYPB|HBG2|ALAS2|GMPPA|HBG1|MALAT1|FAM83A|BNIP3L|BTG1,PTPN7|GAL|S100A11|TMSB4X|MSN|UFD1L|HMGB2|LIMD2|NME1|SH3BGRL3
ISL2,ISL2+ctrl|ctrl+ISL2,True,485,45,0.020467707123236416,0.18788404360753222,False,0.003806782363584551,PNMT|GYPB|PPP1R14A|SMYD3|CD47|MPC2|IDH2|RP11-301G19.1|ISL2|PTRF,HBZ|HBG2|GAL|DDX21|PITX1|HSP90AB1|HBG1|HIST1H1C|APLP2|FAM83A
MAML2,MAML2+ctrl,False,508,48,0.02001201481692529,0.16305748265609515,False,0.0035538792798346522,ORAI2|HBG2|LAPTM4B|FADS1|HBZ|GAL|TESC|MYC|MAML2|PLXNA2,HIST1H1C|TMSB10|LGALS1|VIM|RP11-717F1.1|SVIP|MALAT1|HIST1H2BJ|MDK|NEAT1
MAP4K3,MAP4K3+ctrl,False,299,25,0.01978888096583372,0.15502973240832507,False,0.004886912560032241,HBZ|GYPB|MALAT1|SOCS2|NEAT1|ALAS2|GMPPA|HBG2|GYPA|TCF4,CACYBP|CTSL|FABP5|TEX30|VIM|RP11-301G19.1|CLIC1|EMP3|AC007246.3|PTPN7
KIF2C,KIF2C+ctrl|ctrl+KIF2C,True,518,55,0.019409725067093188,0.17504955401387512,False,0.0033830336178909386,KIF2C|HIST1H1C|RP11-717F1.1|HIST1H2AC|AC006262.5|SLC25A37|COL18A1|PSAP|MALAT1|ALAS2,TUBB|PSMB1|CACYBP|TEX30|VIM|PSMA4|HSP90AA1|CLIC1|NPM1|MARCKSL1
TGFBR2,TGFBR2+ctrl|ctrl+TGFBR2,True,537,57,0.01821156712092497,0.16271060455896927,False,0.0033305395090699593,HBZ|HBG2|GMPPA|GYPB|TGFBR2|ALAS2|HBG1|BLVRB|GYPA|ATF7IP2,SH3BGRL3|AIF1|MPC2|GMFG|LY6E|LAPTM5|MT2A|PRSS57|RP11-301G19.1|TMSB10
UBASH3A,UBASH3A+ctrl|ctrl+UBASH3A,True,686,76,0.01793003409710168,0.18689296333002972,False,0.003016192595011941,MALAT1|NEAT1|HBZ|AC079466.1|UBASH3A|IGFBP4|RP11-717F1.1|HBD|SERPINF1|CLU,HMGB2|UBE2S|CKS1B|RANBP1|CACYBP|PRDX1|CKS2|HSP90AA1|EMP3|NME1
RUNX1T1,RUNX1T1+ctrl|ctrl+RUNX1T1,True,631,67,0.01675256522876749,0.1896432111000991,False,0.003157619088016501,RUNX1T1|NEAT1|VIM|MALAT1|APOE|RP11-301G19.1|COL2A1|CYBA|S100A13|PNMT,HBZ|HBG2|GYPA|GYPB|CTSL|HBG1|GYPE|PITX1|RP11-717F1.1|CCND3
BAK1,BAK1+ctrl|ctrl+BAK1,True,1171,136,0.015430589834696216,0.18927155599603568,False,0.002179311572355676,BAK1|LHX1|RP11-445F12.1|APOE|APOC1|CALM2|PSMA4|PSMB3|PRDX1|PRDX2,KCNH2|CTSL|TMSB10|RP11-717F1.1|PRSS57|FTH1|SH3BGRL3|AC079466.1|LGALS1|SVIP
BCL2L11,BCL2L11+ctrl,False,463,50,0.012917489675788993,0.16065411298315163,False,0.0037592564451963554,BCL2L11|GYPB|HBZ|HBG2|GYPA|GYPE|BLVRB|CAPZA1|SDF2L1|S100A10,TMSB10|RP11-301G19.1|N4BP2L2|LGALS1|PRSS57|NPW|C4orf48|HHEX|HMGB2|PTPN7
